algorithm,seq,worker_id,send_ts,comp_ts,latency_ms,status,rssi
Greedy,1,3658959723,42723,42843,120,completed,-11
Greedy,2,3658959723,42773,42946,173,completed,-11
Greedy,3,3658959723,42823,43138,315,completed,-11
Greedy,4,3658959723,43027,43241,214,completed,-11
Greedy,5,3658959723,43077,43344,267,completed,-11
Greedy,6,3658959723,43127,43447,320,completed,-11
Greedy,7,3658959723,43177,43550,373,completed,-11
Greedy,8,3658959723,43227,43653,426,completed,-11
Greedy,9,3658959723,43277,43756,479,completed,-11
Greedy,10,3658959723,43327,43859,532,completed,-11
Greedy,11,3658959723,43377,43962,585,completed,-11
Greedy,12,3658959723,43427,44063,636,completed,-11
Greedy,20,3037662008,44029,44119,90,completed,-29
Greedy,13,3658959723,43477,44165,688,completed,-11
Greedy,14,3658959723,43527,44268,741,completed,-11
Greedy,21,3037662008,44079,44290,211,completed,-29
Greedy,22,3037662008,44129,44393,264,completed,-29
Greedy,23,3037662008,44179,44496,317,completed,-29
Greedy,15,3658959723,43584,44370,786,completed,-11
Greedy,24,3037662008,44229,44598,369,completed,-29
Greedy,25,3037662008,44279,44701,422,completed,-29
Greedy,26,3037662008,44329,44804,475,completed,-29
Greedy,16,3658959723,43634,44472,838,completed,-11
Greedy,27,3037662008,44379,44907,528,completed,-29
Greedy,17,3658959723,43684,44574,890,completed,-11
Greedy,28,3037662008,44429,45009,580,completed,-29
Greedy,29,3037662008,44479,45111,632,completed,-29
Greedy,30,3037662008,44530,45214,684,completed,-29
Greedy,18,3658959723,43734,44676,942,completed,-11
Greedy,31,3037662008,44584,45317,733,completed,-29
Greedy,32,3037662008,44634,45419,785,completed,-29
Greedy,33,3037662008,44684,45522,838,completed,-29
Greedy,19,3658959723,43784,44778,994,completed,-11
Greedy,34,3037662008,44735,45625,890,completed,-29
Greedy,35,3037662008,44785,45728,943,completed,-29
Greedy,36,3037662008,45030,45831,801,completed,-32
Greedy,37,3037662008,45080,45934,854,completed,-32
Greedy,38,3037662008,45130,46035,905,completed,-32
Greedy,52,3658959723,45830,46142,312,completed,-11
Greedy,39,3037662008,45180,46138,958,completed,-32
Greedy,53,3658959723,46034,46253,219,completed,-11
Greedy,40,3037662008,45230,46240,1010,completed,-32
Greedy,54,3658959723,46084,46363,279,completed,-11
Greedy,41,3037662008,45280,46343,1063,completed,-32
Greedy,55,3658959723,46135,46466,331,completed,-11
Greedy,56,3658959723,46185,46570,385,completed,-11
Greedy,42,3037662008,45330,46446,1116,completed,-32
Greedy,57,3658959723,46235,46673,438,completed,-11
Greedy,58,3658959723,46285,46776,491,completed,-11
Greedy,59,3658959723,46335,46879,544,completed,-11
Greedy,43,3037662008,45380,46548,1168,completed,-32
Greedy,60,3658959723,46385,46982,597,completed,-11
Greedy,44,3037662008,45430,46649,1219,completed,-32
Greedy,61,3658959723,46435,47083,648,completed,-11
Greedy,62,3658959723,46485,47186,701,completed,-11
Greedy,63,3658959723,46535,47289,754,completed,-11
Greedy,45,3037662008,45480,46751,1271,completed,-32
Greedy,64,3658959723,46587,47392,805,completed,-11
Greedy,65,3658959723,46637,47495,858,completed,-11
Greedy,46,3037662008,45530,46853,1323,completed,-32
Greedy,66,3658959723,46687,47598,911,completed,-11
Greedy,67,3658959723,46737,47701,964,completed,-11
Greedy,68,3658959723,46787,47806,1019,completed,-12
Greedy,47,3037662008,45580,46954,1374,completed,-32
Greedy,69,3658959723,47038,47908,870,completed,-12
Greedy,70,3658959723,47088,48011,923,completed,-12
Greedy,48,3037662008,45630,47055,1425,completed,-32
Greedy,49,3037662008,45680,47157,1477,completed,-32
Greedy,50,3037662008,45730,47259,1529,completed,-32
