algorithm,seq,worker_id,send_ts,comp_ts,latency_ms,status,rssi
Greedy,1,3037662008,82152,81007,4294966151,completed,-29
Greedy,2,3037662008,82202,81117,4294966211,completed,-29
Greedy,3,3037662008,82252,81220,4294966264,completed,-29
Greedy,4,3037662008,82302,81323,4294966317,completed,-29
Greedy,5,3037662008,82352,81426,4294966370,completed,-29
Greedy,6,3037662008,82402,81529,4294966423,completed,-29
Greedy,7,3037662008,82452,81631,4294966475,completed,-29
Greedy,8,3037662008,82502,81734,4294966528,completed,-29
Greedy,9,3037662008,82552,81837,4294966581,completed,-31
Greedy,16,3658959723,83064,81917,4294966149,completed,-10
Greedy,10,3037662008,82602,81940,4294966634,completed,-31
Greedy,17,3658959723,83114,82020,4294966202,completed,-10
Greedy,11,3037662008,82652,82043,4294966687,completed,-31
Greedy,18,3658959723,83164,82123,4294966255,completed,-10
Greedy,19,3658959723,83214,82226,4294966308,completed,-10
Greedy,20,3658959723,83264,82329,4294966361,completed,-10
Greedy,12,3037662008,82864,82145,4294966577,completed,-31
Greedy,13,3037662008,82914,82247,4294966629,completed,-31
Greedy,21,3658959723,83314,82432,4294966414,completed,-10
Greedy,22,3658959723,83364,82535,4294966467,completed,-10
Greedy,23,3658959723,83414,82637,4294966519,completed,-10
Greedy,14,3037662008,82964,82349,4294966681,completed,-31
Greedy,15,3037662008,83014,82450,4294966732,completed,-31
Greedy,24,3658959723,83464,82739,4294966571,completed,-10
Greedy,25,3658959723,83514,82842,4294966624,completed,-10
Greedy,26,3658959723,83564,82945,4294966677,completed,-10
Greedy,27,3658959723,83614,83047,4294966729,completed,-10
Greedy,28,3658959723,83665,83150,4294966781,completed,-10
Greedy,29,3658959723,83868,83253,4294966681,completed,-10
Greedy,30,3658959723,83918,83356,4294966734,completed,-10
Greedy,31,3658959723,83968,83459,4294966787,completed,-10
Greedy,32,3658959723,84019,83562,4294966839,completed,-10
Greedy,33,3658959723,84069,83664,4294966891,completed,-10
Greedy,34,3658959723,84119,83767,4294966944,completed,-10
Greedy,35,3658959723,84169,83870,4294966997,completed,-11
Greedy,49,3037662008,85067,83921,4294966150,completed,-29
Greedy,50,3037662008,85117,84024,4294966203,completed,-29
Greedy,36,3658959723,84219,83973,4294967050,completed,-11
Greedy,51,3037662008,85167,84127,4294966256,completed,-29
Greedy,52,3037662008,85217,84230,4294966309,completed,-29
Greedy,53,3037662008,85267,84333,4294966362,completed,-29
Greedy,37,3658959723,84269,84075,4294967102,completed,-11
Greedy,38,3658959723,84319,84177,4294967154,completed,-11
Greedy,54,3037662008,85317,84436,4294966415,completed,-29
Greedy,55,3037662008,85367,84539,4294966468,completed,-29
Greedy,39,3658959723,84369,84279,4294967206,completed,-11
