algorithm,seq,worker_id,send_ts,comp_ts,latency_ms,status,rssi
Greedy,1,3658959723,142359,143742,1383,completed,-9
Greedy,2,3658959723,142559,143845,1286,completed,-9
Greedy,3,3658959723,142759,143948,1189,completed,-10
Greedy,8,3037662008,143898,144001,103,completed,-26
Greedy,4,3658959723,143098,144051,953,completed,-10
Greedy,5,3658959723,143298,144153,855,completed,-10
Greedy,9,3037662008,144111,144225,114,completed,-26
Greedy,6,3658959723,143498,144255,757,completed,-10
Greedy,7,3658959723,143698,144358,660,completed,-10
Greedy,10,3037662008,144311,144415,104,completed,-26
Greedy,11,3037662008,144511,144615,104,completed,-26
Greedy,12,3037662008,144711,144814,103,completed,-26
Greedy,13,3037662008,145102,145207,105,completed,-26
Greedy,14,3037662008,145302,145406,104,completed,-26
Greedy,15,3037662008,145502,145606,104,completed,-26
Greedy,16,3037662008,145702,145806,104,completed,-26
Greedy,31,3037662008,150902,151009,107,completed,-31
Greedy,17,3037662008,150904,151112,208,completed,-31
Greedy,32,3037662008,151102,151215,113,completed,-31
Greedy,18,3037662008,151105,151318,213,completed,-31
Greedy,33,3037662008,151302,151421,119,completed,-31
Greedy,19,3037662008,151305,151608,303,completed,-31
Greedy,34,3037662008,151510,151711,201,completed,-31
Greedy,20,3037662008,151512,151814,302,completed,-31
Greedy,21,3037662008,151705,151916,211,completed,-30
Greedy,35,3037662008,151710,152019,309,completed,-30
Greedy,22,3037662008,151905,152122,217,completed,-30
Greedy,36,3037662008,151910,152225,315,completed,-30
Greedy,23,3037662008,152105,152328,223,completed,-30
Greedy,37,3037662008,152110,152431,321,completed,-30
Greedy,24,3658959723,149306,150806,1500,completed,-9
Greedy,25,3658959723,149515,151079,1564,completed,-9
Greedy,26,3658959723,149715,151355,1640,completed,-9
Greedy,27,3658959723,149915,152383,2468,completed,-9
Greedy,28,3658959723,150115,152485,2370,completed,-9
Greedy,29,3658959723,150502,152586,2084,completed,-9
Greedy,30,3658959723,150702,152688,1986,completed,-9
Greedy,38,3658959723,152310,152789,479,completed,-9
Greedy,39,3658959723,152512,152891,379,completed,-9
Greedy,40,3658959723,152712,152993,281,completed,-9
Greedy,41,3658959723,152912,153095,183,completed,-9
Greedy,42,3658959723,153112,153236,124,completed,-9
Greedy,43,3658959723,153312,153632,320,completed,-9
Greedy,44,3658959723,153515,153734,219,completed,-9
Greedy,45,3658959723,153715,153840,125,completed,-9
Greedy,46,3658959723,153915,154040,125,completed,-10
Greedy,47,3658959723,154115,154239,124,completed,-10
Greedy,48,3658959723,154315,154678,363,completed,-10
Greedy,49,3658959723,154515,154780,265,completed,-10
Greedy,50,3658959723,154715,154882,167,completed,-10
Greedy,51,3658959723,154915,155040,125,completed,-10
Greedy,52,3658959723,155115,155240,125,completed,-10
Greedy,53,3658959723,155315,155438,123,completed,-10
Greedy,54,3658959723,155515,155638,123,completed,-10
Greedy,55,3658959723,155715,155838,123,completed,-10
Greedy,56,3658959723,155915,156038,123,completed,-10
Greedy,57,3658959723,156115,156280,165,completed,-10
Greedy,58,3658959723,156315,156438,123,completed,-10
Greedy,59,3658959723,156515,156638,123,completed,-10
Greedy,60,3658959723,156715,156838,123,completed,-10
Greedy,61,3658959723,156915,157106,191,completed,-10
Greedy,62,3658959723,157115,157241,126,completed,-10
Greedy,63,3658959723,157315,157442,127,completed,-10
Greedy,64,3658959723,157520,157645,125,completed,-10
Greedy,65,3658959723,157720,157844,124,completed,-10
Greedy,66,3658959723,157920,158044,124,completed,-10
Greedy,67,3658959723,158120,158246,126,completed,-10
Greedy,68,3658959723,158320,158445,125,completed,-10
Greedy,69,3658959723,158520,158646,126,completed,-10
Greedy,70,3658959723,158720,158846,126,completed,-10
Greedy,71,3658959723,158920,159044,124,completed,-10
Greedy,72,3658959723,159120,159243,123,completed,-10
Greedy,73,3658959723,159320,159672,352,completed,-10
Greedy,74,3658959723,159520,159783,263,completed,-10
Greedy,76,3037662008,159920,160024,104,completed,-29
Greedy,75,3658959723,159720,159893,173,completed,-10
Greedy,77,3037662008,160120,160224,104,completed,-29
Greedy,78,3037662008,160320,160424,104,completed,-29
Greedy,79,3037662008,160523,160629,106,completed,-29
Greedy,80,3037662008,160723,160827,104,completed,-29
Greedy,81,3037662008,160923,161027,104,completed,-29
Greedy,82,3037662008,161123,161227,104,completed,-29
Greedy,83,3037662008,161323,161427,104,completed,-29
Greedy,84,3037662008,161524,161630,106,completed,-29
Greedy,85,3037662008,161724,161829,105,completed,-29
Greedy,86,3658959723,161924,162049,125,completed,-10
Greedy,87,3658959723,162124,162247,123,completed,-10
Greedy,88,3658959723,162324,162447,123,completed,-10
Greedy,89,3658959723,162524,162649,125,completed,-10
Greedy,90,3658959723,162724,162847,123,completed,-10
Greedy,91,3658959723,162924,163047,123,completed,-10
Greedy,92,3658959723,163124,163247,123,completed,-10
Greedy,93,3658959723,163324,163658,334,completed,-10
Greedy,94,3658959723,163524,163761,237,completed,-10
Greedy,96,3037662008,163924,164029,105,completed,-31
Greedy,95,3658959723,163724,163866,142,completed,-10
Greedy,97,3037662008,164124,164228,104,completed,-31
Greedy,108,3658959723,168322,168446,124,completed,-10
Greedy,109,3658959723,168522,168646,124,completed,-10
Greedy,110,3658959723,168722,168845,123,completed,-10
Greedy,98,3037662008,164324,164428,104,completed,-31
Greedy,111,3658959723,168925,169235,310,completed,-10
Greedy,112,3658959723,169125,169344,219,completed,-10
Greedy,113,3658959723,169325,169460,135,completed,-10
Greedy,99,3037662008,164524,166818,2294,completed,-26
Greedy,114,3658959723,169525,169647,122,completed,-10
Greedy,115,3658959723,169725,169848,123,completed,-10
Greedy,100,3037662008,166722,167023,301,completed,-26
Greedy,101,3037662008,166922,167136,214,completed,-26
Greedy,116,3658959723,169931,170059,128,completed,-10
Greedy,102,3037662008,167122,167386,264,completed,-26
Greedy,117,3658959723,170131,170254,123,completed,-10
Greedy,118,3658959723,170331,170455,124,completed,-10
Greedy,103,3037662008,167322,167633,311,completed,-26
Greedy,119,3658959723,170531,170654,123,completed,-10
Greedy,120,3658959723,170925,171054,129,completed,-10
Greedy,104,3037662008,167522,168020,498,completed,-28
Greedy,105,3037662008,167722,168160,438,completed,-28
Greedy,121,3658959723,171125,171248,123,completed,-10
Greedy,122,3658959723,171325,171449,124,completed,-10
Greedy,106,3037662008,167922,168262,340,completed,-28
Greedy,123,3658959723,171525,171673,148,completed,-10
Greedy,124,3658959723,171725,171849,124,completed,-10
Greedy,107,3037662008,168122,168432,310,completed,-28
Greedy,125,3658959723,171932,172059,127,completed,-11
Greedy,126,3658959723,172132,172256,124,completed,-11
Greedy,127,3658959723,172332,172456,124,completed,-11
Greedy,128,3658959723,172532,172655,123,completed,-11
Greedy,129,3658959723,172732,173129,397,completed,-11
Greedy,130,3658959723,172932,173237,305,completed,-11
Greedy,131,3658959723,173132,173346,214,completed,-11
Greedy,132,3658959723,173332,173456,124,completed,-11
Greedy,133,3658959723,173532,173655,123,completed,-11
Greedy,134,3658959723,173732,174048,316,completed,-10
Greedy,135,3658959723,173932,174168,236,completed,-10
Greedy,136,3658959723,174132,174316,184,completed,-10
Greedy,137,3658959723,174332,174456,124,completed,-10
Greedy,138,3658959723,174532,174655,123,completed,-10
Greedy,139,3658959723,174732,175049,317,completed,-10
Greedy,140,3658959723,174932,175158,226,completed,-10
Greedy,141,3658959723,175132,175261,129,completed,-10
Greedy,142,3658959723,175332,175455,123,completed,-10
Greedy,143,3658959723,175532,175655,123,completed,-10
Greedy,144,3658959723,175732,175855,123,completed,-10
Greedy,145,3658959723,175934,176058,124,completed,-11
Greedy,146,3658959723,176134,176258,124,completed,-11
Greedy,147,3658959723,176334,176457,123,completed,-11
Greedy,148,3658959723,176534,176657,123,completed,-11
Greedy,149,3658959723,176734,177279,545,completed,-11
Greedy,150,3658959723,176934,177382,448,completed,-11
Greedy,151,3658959723,177134,177485,351,completed,-11
Greedy,152,3658959723,177334,177588,254,completed,-11
Greedy,153,3658959723,177534,177691,157,completed,-11
Greedy,154,3658959723,177734,177857,123,completed,-11
Greedy,155,3658959723,177939,178065,126,completed,-10
Greedy,156,3658959723,178139,178263,124,completed,-10
Greedy,157,3658959723,178339,178462,123,completed,-10
Greedy,158,3658959723,178539,178662,123,completed,-10
Greedy,159,3658959723,178739,179054,315,completed,-10
Greedy,160,3658959723,178939,179157,218,completed,-10
Greedy,161,3658959723,179139,179273,134,completed,-10
Greedy,162,3658959723,179339,179462,123,completed,-10
Greedy,163,3658959723,179539,179664,125,completed,-10
Greedy,164,3658959723,179739,179862,123,completed,-10
Greedy,165,3658959723,179940,180067,127,completed,-11
Greedy,166,3658959723,180140,180263,123,completed,-11
Greedy,167,3658959723,180340,180491,151,completed,-11
Greedy,168,3658959723,180540,180664,124,completed,-11
Greedy,169,3658959723,180740,181057,317,completed,-11
Greedy,170,3658959723,180940,181165,225,completed,-11
Greedy,171,3658959723,181140,181268,128,completed,-11
Greedy,172,3658959723,181340,181464,124,completed,-11
Greedy,173,3658959723,181540,181663,123,completed,-11
Greedy,174,3658959723,181740,181864,124,completed,-11
Greedy,175,3658959723,181944,182071,127,completed,-12
Greedy,176,3658959723,184152,184472,320,completed,-10
Greedy,177,3658959723,184358,184602,244,completed,-10
Greedy,178,3658959723,184558,185154,596,completed,-10
Greedy,179,3658959723,184758,185257,499,completed,-10
Greedy,180,3658959723,184958,185359,401,completed,-10
Greedy,181,3658959723,185358,185482,124,completed,-10
Greedy,182,3658959723,185558,185697,139,completed,-10
Greedy,183,3658959723,185758,185881,123,completed,-10
Greedy,184,3037662008,185958,186062,104,completed,-28
Greedy,185,3037662008,186358,186483,125,completed,-28
Greedy,186,3037662008,186558,186666,108,completed,-28
Greedy,187,3037662008,186758,186862,104,completed,-28
Greedy,188,3037662008,186958,187062,104,completed,-28
Greedy,189,3037662008,187158,187457,299,completed,-28
Greedy,190,3037662008,187363,187565,202,completed,-28
Greedy,191,3037662008,187563,187676,113,completed,-28
Greedy,192,3037662008,187763,187867,104,completed,-28
Greedy,193,3658959723,187963,188087,124,completed,-10
Greedy,194,3658959723,188361,188485,124,completed,-10
Greedy,195,3658959723,188561,188684,123,completed,-10
Greedy,196,3658959723,188761,188884,123,completed,-10
Greedy,197,3658959723,188961,189086,125,completed,-10
Greedy,198,3658959723,189161,189477,316,completed,-10
Greedy,199,3658959723,189364,189580,216,completed,-10
Greedy,200,3658959723,189564,189689,125,completed,-10
Greedy,201,3658959723,189764,189887,123,completed,-11
Greedy,202,3037662008,189964,190068,104,completed,-29
Greedy,203,3037662008,190164,190522,358,completed,-29
Greedy,204,3037662008,190366,190631,265,completed,-29
Greedy,205,3037662008,190566,190734,168,completed,-29
Greedy,206,3037662008,190766,190871,105,completed,-29
Greedy,207,3037662008,190966,191070,104,completed,-29
Greedy,208,3037662008,191166,191464,298,completed,-29
Greedy,209,3037662008,191366,191568,202,completed,-29
Greedy,210,3037662008,191566,191673,107,completed,-29
Greedy,211,3037662008,191766,191870,104,completed,-29
Greedy,212,3658959723,191966,192089,123,completed,-10
Greedy,213,3658959723,192166,192483,317,completed,-10
Greedy,214,3658959723,192369,192586,217,completed,-10
Greedy,215,3658959723,192569,192694,125,completed,-10
Greedy,216,3658959723,192769,192892,123,completed,-10
Greedy,217,3658959723,192969,193092,123,completed,-10
Greedy,218,3658959723,193169,193487,318,completed,-10
Greedy,219,3658959723,193369,193596,227,completed,-10
Greedy,220,3658959723,193569,193699,130,completed,-10
Greedy,221,3658959723,193769,193893,124,completed,-10
Greedy,222,3037662008,193969,194074,105,completed,-29
Greedy,223,3037662008,194169,194477,308,completed,-29
Greedy,224,3037662008,194369,194594,225,completed,-29
Greedy,225,3037662008,194569,194697,128,completed,-29
Greedy,226,3037662008,194769,194874,105,completed,-29
