algorithm,seq,worker_id,send_ts,comp_ts,latency_ms,status,rssi
RoundRobin,1,3658959723,74111,76181,2070,completed,-11
RoundRobin,2,3037662008,74311,76318,2007,completed,-22
RoundRobin,3,3658959723,74511,76530,2019,completed,-11
RoundRobin,4,3037662008,74711,76719,2008,completed,-22
RoundRobin,5,3658959723,75035,77093,2058,completed,-11
RoundRobin,6,3037662008,75235,77243,2008,completed,-22
RoundRobin,7,3658959723,75435,77455,2020,completed,-11
RoundRobin,8,3037662008,75635,77644,2009,completed,-22
RoundRobin,10,3037662008,76036,78044,2008,completed,-22
RoundRobin,12,3037662008,76436,78444,2008,completed,-22
RoundRobin,9,3658959723,75835,77854,2019,completed,-11
RoundRobin,14,3037662008,76836,78843,2007,completed,-22
RoundRobin,11,3658959723,76236,79070,2834,completed,-12
RoundRobin,13,3658959723,76636,79183,2547,completed,-12
RoundRobin,16,3037662008,77246,79253,2007,completed,-22
RoundRobin,15,3658959723,77046,79287,2241,completed,-12
RoundRobin,17,3658959723,77446,79466,2020,completed,-12
RoundRobin,18,3037662008,79685,81973,2288,completed,-23
RoundRobin,20,3037662008,80085,82499,2414,completed,-23
RoundRobin,19,3658959723,79885,82081,2196,completed,-12
RoundRobin,22,3037662008,80485,82609,2124,completed,-23
RoundRobin,24,3037662008,80887,82896,2009,completed,-23
RoundRobin,21,3658959723,80285,82332,2047,completed,-12
RoundRobin,23,3658959723,80685,82706,2021,completed,-12
RoundRobin,26,3037662008,81287,83295,2008,completed,-23
RoundRobin,25,3658959723,81087,83107,2020,completed,-12
RoundRobin,27,3658959723,81487,83506,2019,completed,-12
RoundRobin,28,3037662008,81687,83887,2200,completed,-23
RoundRobin,29,3658959723,81887,83961,2074,completed,-12
RoundRobin,30,3037662008,82087,84095,2008,completed,-23
RoundRobin,31,3658959723,82287,84305,2018,completed,-12
RoundRobin,32,3037662008,82487,84495,2008,completed,-23
RoundRobin,33,3658959723,82687,84705,2018,completed,-12
RoundRobin,34,3037662008,82888,84897,2009,completed,-23
RoundRobin,35,3658959723,83088,85107,2019,completed,-11
RoundRobin,36,3037662008,83288,85295,2007,completed,-23
RoundRobin,37,3658959723,83488,85506,2018,completed,-11
RoundRobin,38,3037662008,83688,85697,2009,completed,-23
RoundRobin,39,3658959723,83890,85910,2020,completed,-11
RoundRobin,40,3037662008,84090,86098,2008,completed,-23
RoundRobin,41,3658959723,84290,86309,2019,completed,-11
RoundRobin,42,3037662008,84490,86497,2007,completed,-23
RoundRobin,43,3658959723,84690,86708,2018,completed,-11
RoundRobin,44,3037662008,84890,86899,2009,completed,-23
RoundRobin,45,3658959723,85090,87109,2019,completed,-12
RoundRobin,46,3037662008,85290,87298,2008,completed,-20
RoundRobin,47,3658959723,85490,87509,2019,completed,-12
RoundRobin,48,3037662008,85690,87698,2008,completed,-20
RoundRobin,49,3658959723,85893,87927,2034,completed,-12
RoundRobin,50,3037662008,86093,88100,2007,completed,-20
RoundRobin,51,3658959723,86293,88313,2020,completed,-12
RoundRobin,52,3037662008,86493,88500,2007,completed,-20
RoundRobin,53,3658959723,86693,88918,2225,completed,-12
RoundRobin,54,3037662008,86893,88909,2016,completed,-20
RoundRobin,55,3658959723,87093,89113,2020,completed,-11
RoundRobin,56,3037662008,87293,89300,2007,completed,-23
RoundRobin,57,3658959723,87493,89512,2019,completed,-11
RoundRobin,58,3037662008,87694,89895,2201,completed,-23
RoundRobin,59,3658959723,87894,89913,2019,completed,-11
RoundRobin,60,3037662008,88094,90101,2007,completed,-23
RoundRobin,61,3658959723,88294,90313,2019,completed,-11
RoundRobin,62,3037662008,88494,90503,2009,completed,-23
RoundRobin,64,3037662008,88894,90902,2008,completed,-23
RoundRobin,66,3037662008,89294,91301,2007,completed,-21
RoundRobin,63,3658959723,88694,90713,2019,completed,-11
RoundRobin,68,3037662008,89695,91924,2229,completed,-21
RoundRobin,70,3037662008,90095,92104,2009,completed,-21
