algorithm,seq,worker_id,send_ts,comp_ts,latency_ms,status,rssi
Greedy,1,3658959723,1561255,1561387,132,completed,-15
Greedy,2,3658959723,1561586,1561718,132,completed,-15
Greedy,3,3658959723,1561786,1561917,131,completed,-15
Greedy,4,3658959723,1561986,1562117,131,completed,-15
Greedy,5,3658959723,1562186,1562317,131,completed,-15
Greedy,6,3658959723,1562389,1562521,132,completed,-15
Greedy,7,3658959723,1562598,1562729,131,completed,-9
Greedy,8,3658959723,1562798,1562929,131,completed,-9
Greedy,9,3658959723,1562998,1563129,131,completed,-9
Greedy,10,3658959723,1563198,1563329,131,completed,-9
Greedy,11,3658959723,1563398,1563722,324,completed,-9
Greedy,12,3658959723,1563598,1563840,242,completed,-9
Greedy,13,3658959723,1563798,1563943,145,completed,-9
Greedy,14,3658959723,1563998,1564129,131,completed,-9
Greedy,15,3658959723,1564198,1564328,130,completed,-9
Greedy,16,3658959723,1564398,1565760,1362,completed,-8
Greedy,17,3658959723,1564598,1565939,1341,completed,-8
Greedy,18,3658959723,1564798,1566215,1417,completed,-8
Greedy,19,3658959723,1564998,1566318,1320,completed,-8
Greedy,20,3658959723,1565198,1566421,1223,completed,-8
Greedy,21,3658959723,1565398,1566524,1126,completed,-8
Greedy,22,3658959723,1565598,1566631,1033,completed,-9
Greedy,23,3658959723,1565798,1566732,934,completed,-9
Greedy,24,3658959723,1565998,1566835,837,completed,-9
Greedy,25,3658959723,1566199,1566937,738,completed,-9
Greedy,26,3658959723,1566399,1567038,639,completed,-9
Greedy,27,3658959723,1566607,1567140,533,completed,-9
Greedy,28,3037662008,1566807,1566923,116,completed,-36
Greedy,29,3037662008,1567007,1567123,116,completed,-36
Greedy,30,3037662008,1567208,1567325,117,completed,-36
Greedy,31,3037662008,1567408,1567716,308,completed,-36
Greedy,32,3037662008,1567612,1567895,283,completed,-36
Greedy,33,3037662008,1567812,1568173,361,completed,-36
Greedy,34,3037662008,1568012,1568275,263,completed,-36
Greedy,35,3037662008,1568212,1568377,165,completed,-36
Greedy,36,3658959723,1568606,1568738,132,completed,-9
Greedy,37,3658959723,1568806,1568937,131,completed,-9
Greedy,38,3658959723,1569006,1569137,131,completed,-9
Greedy,39,3658959723,1569206,1569338,132,completed,-9
Greedy,40,3658959723,1569406,1569536,130,completed,-9
Greedy,41,3658959723,1569608,1569740,132,completed,-9
Greedy,42,3658959723,1569808,1569939,131,completed,-9
Greedy,43,3658959723,1570008,1570139,131,completed,-9
Greedy,44,3658959723,1570208,1570340,132,completed,-9
Greedy,45,3658959723,1570408,1570735,327,completed,-9
Greedy,46,3658959723,1570610,1570844,234,completed,-9
Greedy,47,3658959723,1570810,1570947,137,completed,-9
Greedy,48,3658959723,1571010,1571141,131,completed,-9
Greedy,49,3658959723,1571210,1571340,130,completed,-9
Greedy,50,3658959723,1571410,1571541,131,completed,-9
Greedy,51,3658959723,1571610,1571742,132,completed,-9
Greedy,52,3658959723,1571810,1571941,131,completed,-9
Greedy,53,3658959723,1572010,1572142,132,completed,-9
Greedy,54,3658959723,1572210,1572341,131,completed,-9
Greedy,55,3658959723,1572410,1572737,327,completed,-8
Greedy,56,3658959723,1572612,1572846,234,completed,-8
Greedy,57,3658959723,1572812,1572964,152,completed,-8
Greedy,58,3658959723,1573012,1573143,131,completed,-8
Greedy,59,3658959723,1573212,1573342,130,completed,-8
Greedy,60,3658959723,1573412,1573543,131,completed,-8
Greedy,61,3658959723,1573612,1573744,132,completed,-8
Greedy,62,3658959723,1573812,1573943,131,completed,-8
Greedy,63,3658959723,1574012,1574143,131,completed,-8
Greedy,64,3658959723,1574212,1574342,130,completed,-8
Greedy,65,3658959723,1574412,1574740,328,completed,-9
Greedy,66,3658959723,1574616,1574842,226,completed,-9
Greedy,67,3658959723,1574816,1574948,132,completed,-9
Greedy,68,3658959723,1575016,1575147,131,completed,-9
Greedy,69,3658959723,1575216,1575347,131,completed,-9
Greedy,70,3658959723,1575416,1575741,325,completed,-9
Greedy,71,3658959723,1577814,1578141,327,completed,-9
Greedy,72,3658959723,1578016,1578247,231,completed,-9
Greedy,73,3658959723,1578216,1578351,135,completed,-9
Greedy,74,3658959723,1578416,1578547,131,completed,-9
Greedy,75,3658959723,1578616,1578748,132,completed,-10
Greedy,76,3658959723,1578816,1579138,322,completed,-10
Greedy,77,3658959723,1579016,1579241,225,completed,-10
Greedy,78,3658959723,1579216,1579348,132,completed,-10
Greedy,79,3658959723,1579416,1579547,131,completed,-10
Greedy,80,3658959723,1579616,1579747,131,completed,-10
Greedy,81,3658959723,1579816,1579949,133,completed,-10
Greedy,82,3658959723,1580018,1580239,221,completed,-10
Greedy,83,3658959723,1580221,1580354,133,completed,-10
Greedy,84,3658959723,1580421,1580553,132,completed,-10
Greedy,85,3658959723,1580621,1580753,132,completed,-9
Greedy,86,3658959723,1580821,1581143,322,completed,-9
